Country,Population (millions),Total Ecological Footprint,Total Biocapacity
Afghanistan,29.82,0.79,0.5
Albania,3.16,2.21,1.18
Algeria,38.48,2.12,0.59
Angola,20.82,0.93,2.55
Antigua and Barbuda,0.09,5.38,0.94
Argentina,41.09,3.14,6.92
Armenia,2.97,2.23,0.89
Aruba,0.1,11.88,0.57
Australia,23.05,9.31,16.57
Austria,8.46,6.06,3.07
Azerbaijan,9.31,2.31,0.85
Bahamas,0.37,6.84,9.55
Bahrain,1.32,7.49,0.58
Bangladesh,154.7,0.72,0.38
Barbados,0.28,4.48,0.19
Belarus,9.4,5.09,3.64
Belgium,11.06,7.44,1.19
Benin,10.05,1.41,0.88
Bermuda,0.06,5.77,0.13
Bhutan,0.74,4.84,5.27
Bolivia,10.5,2.96,16.73
Bosnia and Herzegovina,3.83,3.12,1.63
Botswana,2,3.83,3.47
Brazil,198.66,3.11,9.08
British Virgin Islands,0.03,2.86,2.05
Brunei Darussalam,0.41,4.06,2.87
Bulgaria,7.28,3.32,2.86
Burkina Faso,16.46,1.21,0.98
Burundi,9.85,0.8,0.32
Cabo Verde,0.49,2.52,0.62
Cambodia,14.86,1.21,1.09
Cameroon,21.7,1.17,1.69
Canada,34.84,8.17,16.01
Cayman Islands,0.06,5.65,0.32
Central African Republic,4.53,1.24,7.87
Chad,12.45,1.46,2.03
Chile,17.46,4.36,3.63
China,1408.04,3.38,0.94
Colombia,47.7,1.87,3.6
Comoros,0.72,1.03,0.32
Congo,4.34,1.29,10.91
Congo,Africa,0.01,0.05
Costa Rica,4.8,2.84,1.53
C̫te d'Ivoire,19.84,1.27,1.78
Croatia,4.31,3.92,2.8
Cuba,11.27,1.95,0.76
Cyprus,1.13,4.21,0.34
Czech Republic,10.66,5.19,2.46
Denmark,5.6,5.51,4.78
Djibouti,0.86,2.19,0.77
Dominica,0.07,2.57,1.03
Dominican Republic,10.28,1.53,0.56
Ecuador,15.49,2.17,2.2
Egypt,80.72,2.15,0.56
El Salvador,6.3,2.07,0.61
Equatorial Guinea,0.74,3.97,4.4
Eritrea,6.13,0.42,1.3
Estonia,1.29,6.86,10.53
Ethiopia,91.73,1.02,0.58
Fiji,0.88,2.9,2.37
Finland,5.41,5.87,13.44
France,63.98,5.14,3.11
French Guiana,0.24,2.34,111.35
French Polynesia,0.27,4.73,1.37
Gabon,1.63,2.02,26.31
Gambia,1.79,1.03,0.82
Georgia,4.36,1.58,1.17
Germany,82.8,5.3,2.27
